Age,Temperature_C,Heart_Rate_BPM,Respiratory_Rate_BPM,Weight_Change_Percent,Food_Intake_Percent,Stool_Consistency,Activity_Level,Edema,Trunk_Moisture,Mucous_Membrane,Gait_Score,Health_Status,Diagnosis
6,39.3,56,16,-2.5,34,Normal,Low (Lethargic),Mild,Dry,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
16,38.6,54,24,-1.8,50,Normal,Low (Lethargic),None,Moist,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
40,36.5,33,6,1.0,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
1,36.6,26,10,0.3,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,36.3,29,7,-0.3,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
6,36.4,33,11,0.4,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
37,35.7,28,7,-0.1,91,Normal,Moderate,Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
36,36.8,34,8,0.1,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
6,39.0,41,23,-2.1,47,Normal,Low (Lethargic),None,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
16,36.3,34,12,0.2,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
35,36.4,35,10,-0.9,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.7,31,8,0.3,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
32,36.4,35,11,0.4,87,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
53,37.5,40,24,-4.8,45,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
34,36.7,32,9,0.2,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
44,36.8,28,5,1.0,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
57,35.7,33,13,0.4,82,Normal,Moderate,Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
25,36.0,25,11,-0.8,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
11,39.7,41,26,-2.6,37,Normal,Low (Lethargic),Mild,Moist,Pink,Normal,Infection,Bacterial/Viral Infection
58,36.7,34,11,-0.7,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
51,36.5,34,11,0.9,97,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,36.5,28,5,0.6,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
